project_id,project_name,city_norm,locality_norm,bhk,price_lakhs,possession_norm
cmf53kkzy000fvcu8tx8jwjmr,Ashwini,,mumbai chembur,1.0,111.11111,under_construction
cmf53kkzy000fvcu8tx8jwjmr,Ashwini,,mumbai chembur,2.0,222.22222,under_construction
cmf5r6hv00001vxptnfichhfl,Pristine02,pune,mamurdi,2.0,1200.0,ready_to_move
cmf5r6hv00001vxptnfichhfl,Pristine02,pune,mamurdi,2.0,2100.0,ready_to_move
cmfawdrno0007vc18l0fm0z2j,Gurukripa,mumbai,mumbai harbour,1.0,130.0,under_construction
cmfawdrno0007vc18l0fm0z2j,Gurukripa,mumbai,mumbai harbour,1.0,150.0,under_construction
cmfawdrno0007vc18l0fm0z2j,Gurukripa,mumbai,mumbai harbour,3.0,290.0,under_construction
cmfawdrno0007vc18l0fm0z2j,Gurukripa,mumbai,mumbai harbour,2.0,260.0,under_construction
cmfawdrno0007vc18l0fm0z2j,Gurukripa,mumbai,mumbai harbour,2.0,330.0,under_construction
cmfaxq2oo0020vc1806nmle00,Hari om,maharashtra 400071,mumbai,1.0,130.0,under_construction
cmfaxq2oo0020vc1806nmle00,Hari om,maharashtra 400071,mumbai,2.0,190.0,under_construction
cmfaxq2oo0020vc1806nmle00,Hari om,maharashtra 400071,mumbai,3.0,230.0,under_construction
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,maharashtra 400075,mumbai,1.0,8.5,under_construction
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,maharashtra 400075,mumbai,1.0,7.9,under_construction
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,maharashtra 400075,mumbai,1.0,8.8,under_construction
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,maharashtra 400075,mumbai,2.0,120.0,under_construction
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,maharashtra 400075,mumbai,2.0,140.0,under_construction
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,,prataprao gujar rd neelam nagar mulund east mumbai maharashtra 400081,1.0,120.0,under_construction
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,,prataprao gujar rd neelam nagar mulund east mumbai maharashtra 400081,2.0,170.0,under_construction
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,,prataprao gujar rd neelam nagar mulund east mumbai maharashtra 400081,2.0,190.0,under_construction
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,,prataprao gujar rd neelam nagar mulund east mumbai maharashtra 400081,3.0,330.0,under_construction
cmfc79ip5001cvca0qht6o44p,Avenue 15,,avenue 15 ramesh barrel supplying company k.t.gupta wadi s.p.murai rd behind sewri road sewri w maharashtra 400015,1.0,98.9,under_construction
cmfc79ip5001cvca0qht6o44p,Avenue 15,,avenue 15 ramesh barrel supplying company k.t.gupta wadi s.p.murai rd behind sewri road sewri w maharashtra 400015,1.0,140.0,under_construction
cmfc79ip5001cvca0qht6o44p,Avenue 15,,avenue 15 ramesh barrel supplying company k.t.gupta wadi s.p.murai rd behind sewri road sewri w maharashtra 400015,2.0,150.0,under_construction
cmfc80zv1002dvca0hcgoc6ea,Swaroop Aditya Avenue,maharashtra 400099,mumbai,,59.75,under_construction
cmfc80zv1002dvca0hcgoc6ea,Swaroop Aditya Avenue,maharashtra 400099,mumbai,,77.2,under_construction
cmfc80zv1002dvca0hcgoc6ea,Swaroop Aditya Avenue,maharashtra 400099,mumbai,,150.0,under_construction
cmfc8w1e8003dvca0yvieggaz,Marigold miraaya,maharashtra 400080,mumbai,2.0,89.0,under_construction
cmfc8w1e8003dvca0yvieggaz,Marigold miraaya,maharashtra 400080,mumbai,2.0,100.0,under_construction
cmfc8w1e8003dvca0yvieggaz,Marigold miraaya,maharashtra 400080,mumbai,3.0,150.0,under_construction
cmfcccifs004nvca0b7im3r5a,Balaji Kanha,,64c5+c63 dombivli east dombivli maharashtra 421301,1.0,41.9,under_construction
cmfcccifs004nvca0b7im3r5a,Balaji Kanha,,64c5+c63 dombivli east dombivli maharashtra 421301,2.0,57.7,under_construction
cmfcd6uup005fvca03vhph9j1,Bhoomi antara,maharashtra 400077,mumbai,2.0,170.0,under_construction
cmfcd6uup005fvca03vhph9j1,Bhoomi antara,maharashtra 400077,mumbai,2.0,240.0,under_construction
cmfcd6uup005fvca03vhph9j1,Bhoomi antara,maharashtra 400077,mumbai,3.0,370.0,under_construction
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,maharashtra 400059,mumbai,1.0,120.0,under_construction
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,maharashtra 400059,mumbai,2.0,170.0,under_construction
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,maharashtra 400059,mumbai,,210.0,under_construction
cmfcg9ren0001vc209rw25eve,Glory,maharashtra 411033,dattwadi,2.0,670.0,under_construction
cmfcg9ren0001vc209rw25eve,Glory,maharashtra 411033,dattwadi,3.0,860.0,under_construction
cmfcg9ren0001vc209rw25eve,Glory,maharashtra 411033,dattwadi,3.0,960.0,under_construction
cmfdmdqmq0008vc90svu2sfto,Antriksh,maharashtra 411011,pune,1.0,56.49,under_construction
cmfdmdqmq0008vc90svu2sfto,Antriksh,maharashtra 411011,pune,2.0,143.0,under_construction
cmfdmdqmq0008vc90svu2sfto,Antriksh,maharashtra 411011,pune,2.0,189.0,under_construction
cmfdmdqmq0008vc90svu2sfto,Antriksh,maharashtra 411011,pune,3.0,229.0,under_construction
cmfdnk2rz001rvc90t6aa3f0e,16 Lakaki,maharashtra 411016,pune,4.0,558.0,under_construction
cmfdro2w2002ivc90co2n24lb,Dinmanee,maharashtra 411016,pune,3.0,254.0,under_construction
cmfdssd190037vc90paoxv29h,Zoa Building - 2 Wing A,pune 411036,neatr renuka mata temple mundhwa,1.0,74.99,under_construction
cmfdssd190037vc90paoxv29h,Zoa Building - 2 Wing A,pune 411036,neatr renuka mata temple mundhwa,2.0,141.0,under_construction
cmfdu20970046vc90g587nym1,Leela by Empyrean Landmarks - Phase 1 & 2,maharashtra 411014,pune,2.0,136.0,under_construction
cmfdu20970046vc90g587nym1,Leela by Empyrean Landmarks - Phase 1 & 2,maharashtra 411014,pune,3.0,139.0,under_construction
cmfdvkxeu0053vc90gquj3cbz,Midori Towers,maharashtra 412101,dehu road,2.0,668.0,under_construction
cmfdxi4sv005rvc90ygfhnzc9,Kedar Residency,maharashtra 412101,dehu road,1.0,304.0,ready_to_move
cmfdxi4sv005rvc90ygfhnzc9,Kedar Residency,maharashtra 412101,dehu road,2.0,490.0,ready_to_move
cmfdyb2yc006rvc900owycgrv,Sonai Clara,maharashtra 412101,pimpri-chinchwad,2.0,79.16,under_construction
cmfdyb2yc006rvc900owycgrv,Sonai Clara,maharashtra 412101,pimpri-chinchwad,2.0,76.24,under_construction
cmfdyb2yc006rvc900owycgrv,Sonai Clara,maharashtra 412101,pimpri-chinchwad,3.0,99.0,under_construction
cmfdyb2yc006rvc900owycgrv,Sonai Clara,maharashtra 412101,pimpri-chinchwad,3.0,110.0,under_construction
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,maharashtra 412101,dehu road,2.0,7843.0,under_construction
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,maharashtra 412101,dehu road,2.0,80.37,under_construction
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,maharashtra 412101,dehu road,3.0,139.0,under_construction
cmfe01l6h009gvc90y1zazr09,The silver altair,ravet,aundh ravet brts rd,2.0,84.09,under_construction
cmfe01l6h009gvc90y1zazr09,The silver altair,ravet,aundh ravet brts rd,2.0,88.85,under_construction
cmfe01l6h009gvc90y1zazr09,The silver altair,ravet,aundh ravet brts rd,3.0,110.0,under_construction
cmff8swbm0001vxp7pe3neibi,testing,,asdfgh,5.0,100.88,ready_to_move
cmff8swbm0001vxp7pe3neibi,testing,,asdfgh,2.0,9800.0,ready_to_move
cmff8swbm0001vxp7pe3neibi,testing,,asdfgh,2.0,1200.0,ready_to_move
cmftjwws60001vx55r0q7797l,TESTING,,address,4.0,200.0,ready_to_move
cmftjwws60001vx55r0q7797l,TESTING,,address,4.0,100.0,ready_to_move
cmfw5ivra0001vxnkbozvz8bd,testing igi,,awsedrftgyhujk,,800.0,ready_to_move
cmfw5ivra0001vxnkbozvz8bd,testing igi,,awsedrftgyhujk,3.0,9600.0,ready_to_move
cmfwd377z0008vxgxd9nju858,some project testing,,address,4.0,300.0,under_construction
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,maharashtra 400071,mumbai,1.0,109.0,under_construction
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,maharashtra 400071,mumbai,2.0,187.0,under_construction
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,maharashtra 400071,mumbai,2.0,172.0,under_construction
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,maharashtra 400071,mumbai,3.0,239.0,under_construction
cmfxtgtbw0009vxov4t5onh7d,testring999,,sdfghj,3.0,800.0,under_construction
cmfxwmse70001qq0908yt6oar,Queens Glory,maharashtra 400071,mumbai,,79.44,under_construction
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,mumbai,mumbai harbour,1.0,107.0,under_construction
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,mumbai,mumbai harbour,2.0,153.0,under_construction
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,mumbai,mumbai harbour,2.0,167.0,under_construction
